Date,beta1,beta2,beta3
19700130,0.069824,0.005258,0.016214
19700227,0.066965,-0.002539,0.008519
19700331,0.070331,-0.008302,0.000303
19700430,0.074037,-0.008193,0.013937
19700529,0.070437,-0.005768,0.022388
19700630,0.072661,-0.012311,0.019991
19700731,0.071461,-0.011197,0.01356
19700831,0.073265,-0.011894,0.003916
19700930,0.071106,-0.01412,0.004997
19701030,0.069566,-0.014776,0.006631
19701130,0.067342,-0.018962,-0.017913
19701231,0.06362,-0.018132,-0.004919
19710129,0.068078,-0.028366,-0.023608
19710226,0.065378,-0.03337,-0.019097
19710331,0.059086,-0.024971,-0.016716
19710430,0.062098,-0.026495,0.009971
19710528,0.063778,-0.023861,0.007184
19710630,0.065735,-0.017518,0.018483
19710730,0.067053,-0.016992,0.015607
19710831,0.062194,-0.019113,0.006042
19710930,0.058422,-0.014738,0.010957
19711029,0.061036,-0.020552,-0.005519
19711130,0.065485,-0.023835,-0.013117
19711231,0.060986,-0.027216,0.000256
19720131,0.063099,-0.033061,0.006251
19720229,0.064498,-0.033268,-0.00031
19720330,0.059086,-0.024822,0.026567
19720428,0.0621,-0.029597,0.011293
19720531,0.062736,-0.027419,0.002481
19720630,0.058658,-0.021025,0.021354
19720731,0.060595,-0.025375,0.016759
19720831,0.06173,-0.018621,0.013371
19720929,0.061685,-0.01661,0.01308
19721031,0.06159,-0.016309,0.012029
19721130,0.061915,-0.015133,0.003916
19721229,0.061681,-0.012298,0.006811
19730131,0.060765,-0.006047,0.00998
19730228,0.06036,-0.005453,0.020729
19730330,0.060029,0.001879,0.018845
19730430,0.061464,-0.000737,0.012674
19730531,0.064425,0.003358,-0.002149
19730629,0.064115,0.011672,-0.005067
19730731,0.064249,0.017967,0.015505
19730831,0.066333,0.020844,-0.012567
19730928,0.06339,0.010689,-0.006286
19731031,0.063335,0.008863,-0.007444
19731130,0.063408,0.012685,-0.013482
19731231,0.065433,0.009349,-0.015161
19740131,0.069683,0.005349,-0.025629
19740228,0.067306,0.006524,-0.016095
19740329,0.068821,0.014389,-0.005832
19740430,0.07083,0.016723,0.002174
19740531,0.069815,0.009192,0.012399
19740628,0.065836,0.008278,0.034287
19740731,0.068464,0.006223,0.034025
19740830,0.071607,0.019539,0.011759
19740930,0.066408,-0.004401,0.04811
19741031,0.069178,0.00152,0.017483
19741129,0.07195,0.00237,-0.008963
19741231,0.06595,-0.000098,0.011531
19750131,0.069333,-0.01634,0.011724
19750228,0.069981,-0.020899,0.006168
19750331,0.074145,-0.02265,0.009033
19750430,0.072403,-0.022997,0.037658
19750530,0.078236,-0.030524,0.00982
19750630,0.071919,-0.017277,0.021681
19750731,0.066839,-0.008716,0.03656
19750829,0.07529,-0.015416,0.023462
19750930,0.075211,-0.014122,0.030809
19751031,0.078265,-0.027167,0.00755
19751128,0.076823,-0.025632,0.018619
19751231,0.077719,-0.02897,0.006475
19760130,0.080509,-0.037367,0.001919
19760227,0.076101,-0.030076,0.015353
19760331,0.071312,-0.025952,0.02263
19760430,0.072464,-0.027308,0.018665
19760528,0.075242,-0.024197,0.02296
19760630,0.076739,-0.025747,0.011085
19760730,0.07756,-0.028639,0.005901
19760831,0.077333,-0.029171,0.000944
19760930,0.077581,-0.028491,-0.00784
19761029,0.077353,-0.030433,-0.012134
19761130,0.073332,-0.029942,-0.019862
19761231,0.070793,-0.028892,-0.013449
19770131,0.074423,-0.0298,0.002058
19770228,0.076206,-0.03202,-0.002025
19770331,0.075516,-0.032516,-0.001879
19770429,0.076405,-0.032673,-0.002219
19770531,0.073503,-0.025853,-0.001676
19770630,0.072527,-0.024081,-0.006275
19770729,0.074249,-0.021411,-0.003952
19770831,0.070977,-0.017122,0.002265
19770930,0.07171,-0.013958,0.001039
19771031,0.07124,-0.013156,0.012785
19771130,0.071079,-0.01342,0.01122
19771230,0.074067,-0.015828,0.010145
19780131,0.074944,-0.014296,0.011913
19780228,0.075871,-0.014533,0.011712
19780331,0.076736,-0.013835,0.010926
19780428,0.07536,-0.015449,0.023775
19780531,0.076999,-0.012733,0.022384
